City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Albany,US,42.6001,-73.9662,69.15,64,5,3.0,clear sky
80,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,73,75,4.61,broken clouds
81,Srednekolymsk,RU,67.45,153.6833,49.28,60,0,10.85,clear sky
82,Ribeira Grande,PT,38.5167,-28.7,66.6,55,40,13.8,scattered clouds
83,Emba,KZ,48.8264,58.1442,81.7,33,36,18.52,scattered clouds
84,Robertsport,LR,6.7533,-11.3686,84.02,72,91,8.99,overcast clouds
85,Carnarvon,AU,-24.8667,113.6333,66.27,77,68,3.44,broken clouds
86,Taltal,CL,-25.4,-70.4833,67.59,67,83,3.2,broken clouds
87,Lompoc,US,34.6391,-120.4579,59.09,93,90,3.44,overcast clouds
88,Tyrma,RU,50.0833,132.1667,43.38,94,50,1.92,scattered clouds
89,Sur,OM,22.5667,59.5289,90.07,59,2,3.18,clear sky
90,Tura,IN,25.5198,90.2201,73.74,93,95,4.12,light rain
91,Nelson Bay,AU,-32.7167,152.15,54.75,79,0,1.01,clear sky
92,La Macarena,CO,2.1837,-73.7849,82.96,67,83,0.54,broken clouds
93,Broome,US,42.2506,-75.833,65.17,63,75,3.0,broken clouds
94,Narsaq,GL,60.9167,-46.05,53.82,52,0,2.53,clear sky
95,Tomatlan,MX,19.9333,-105.25,84.79,51,51,2.21,broken clouds
96,Jumla,NP,29.2747,82.1838,60.57,81,98,4.72,overcast clouds
97,Port Keats,AU,-14.25,129.55,71.51,46,99,9.53,overcast clouds
98,Aksu,CN,41.1231,80.2644,81.09,10,22,5.28,few clouds
99,Paamiut,GL,61.994,-49.6678,38.48,83,41,11.36,scattered clouds
100,Boyolangu,ID,-8.1181,111.8935,75.9,93,67,2.55,broken clouds
101,Mpongwe,ZM,-13.5091,28.155,72.07,33,0,3.6,clear sky
102,Xining,CN,36.6167,101.7667,58.95,45,100,3.27,overcast clouds
103,Port Lincoln,AU,-34.7333,135.8667,59.54,64,95,6.33,overcast clouds
104,Bengkulu,ID,-3.8004,102.2655,78.21,89,100,7.11,overcast clouds
105,Flinders,AU,-34.5833,150.8552,55.2,72,0,9.48,clear sky
106,Toyooka,JP,35.5333,134.8333,58.95,95,8,4.76,clear sky
107,Havoysund,NO,70.9963,24.6622,41.23,87,96,33.13,light rain
108,Praia Da Vitoria,PT,38.7333,-27.0667,66.45,63,40,12.82,scattered clouds
109,Bad Doberan,DE,54.1071,11.9005,59.11,72,97,4.0,overcast clouds
110,Castro,BR,-24.7911,-50.0119,71.73,55,37,7.99,scattered clouds
111,San Cristobal,VE,7.7669,-72.225,75.38,81,64,5.23,broken clouds
112,Marsa Matruh,EG,31.3525,27.2453,79.0,61,0,14.97,clear sky
113,San Quintin,MX,30.4833,-115.95,60.21,78,50,12.39,scattered clouds
114,Burns Lake,CA,54.2331,-125.7533,40.42,97,100,5.03,overcast clouds
115,Hilo,US,19.7297,-155.09,71.8,91,40,4.61,light rain
116,Klaksvik,FO,62.2266,-6.589,50.92,80,75,14.76,broken clouds
117,Laguna,US,38.421,-121.4238,64.45,70,1,4.0,clear sky
118,Aklavik,CA,68.2191,-135.0107,27.43,80,90,6.91,overcast clouds
119,Smithers,CA,54.7804,-127.1743,43.12,93,90,0.0,overcast clouds
120,Pyshchug,RU,58.8873,45.7134,54.52,84,100,4.0,overcast clouds
121,Port Hedland,AU,-20.3167,118.5667,75.25,69,40,3.44,scattered clouds
122,Saint-Philippe,RE,-21.3585,55.7679,76.59,81,58,6.08,broken clouds
123,Mayuge,UG,0.4597,33.4803,73.09,71,98,9.75,overcast clouds
124,Puerto Cabezas,NI,14.0351,-83.3888,85.96,70,75,11.5,broken clouds
125,Whitehorse,CA,60.7161,-135.0538,38.17,86,40,11.01,scattered clouds
126,Avarua,CK,-21.2078,-159.775,80.65,89,40,10.36,light rain
127,Christchurch,NZ,-43.5333,172.6333,44.82,92,100,1.99,overcast clouds
128,Drawsko Pomorskie,PL,53.5306,15.8097,60.08,69,87,3.0,overcast clouds
129,Sorong,ID,-0.8833,131.25,78.89,88,100,10.51,overcast clouds
130,Iqaluit,CA,63.7506,-68.5145,31.73,69,90,8.99,overcast clouds
131,Shelburne,CA,44.0787,-80.2041,55.74,65,77,8.84,broken clouds
132,Norman Wells,CA,65.282,-126.8329,33.84,100,90,9.22,overcast clouds
133,Upernavik,GL,72.7868,-56.1549,37.94,89,50,2.17,scattered clouds
134,Baruun-Urt,MN,46.6806,113.2792,45.97,59,32,6.98,scattered clouds
135,Pisco,PE,-13.7,-76.2167,63.01,94,90,6.91,overcast clouds
136,Harlingen,US,26.1906,-97.6961,84.33,75,75,8.05,broken clouds
137,Alekseyevsk,RU,57.8406,108.3492,38.95,54,2,3.0,clear sky
138,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,93,90,6.91,overcast clouds
139,Yulara,AU,-25.2406,130.9889,49.84,53,100,8.05,overcast clouds
140,Pushkinskiye Gory,RU,57.0209,28.9103,52.52,98,100,2.71,moderate rain
141,Wanaka,NZ,-44.7,169.15,41.5,88,100,1.34,overcast clouds
142,Ouallam,NE,14.3188,2.0866,107.37,15,45,4.09,scattered clouds
143,Georgetown,MY,5.4112,100.3354,82.89,84,20,5.01,light rain
144,Saskylakh,RU,71.9167,114.0833,30.18,86,100,7.67,overcast clouds
145,Khatanga,RU,71.9667,102.5,21.38,92,90,5.21,overcast clouds
146,Bubaque,GW,11.2833,-15.8333,78.93,74,39,9.1,scattered clouds
147,Sitka,US,57.0531,-135.33,46.29,71,90,9.22,overcast clouds
148,Pedasi,PA,7.5333,-80.0333,82.8,75,37,12.33,scattered clouds
149,Mezen,RU,65.8522,44.24,49.95,36,97,5.12,overcast clouds
150,Chernyshevsk,RU,52.5243,117.0174,44.11,88,100,4.74,overcast clouds
151,Tiksi,RU,71.6872,128.8694,33.75,98,100,5.48,overcast clouds
152,Faanui,PF,-16.4833,-151.75,80.26,68,9,8.37,clear sky
153,Limanu,RO,43.8,28.5333,74.53,69,95,8.46,overcast clouds
154,Hobart,AU,-42.8794,147.3294,43.92,77,75,5.01,broken clouds
155,Cabo San Lucas,MX,22.8909,-109.9124,87.4,44,38,10.11,scattered clouds
156,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,66,66,10.83,broken clouds
157,Katsuura,JP,35.1333,140.3,63.19,91,100,11.7,overcast clouds
158,Bethel,US,41.3712,-73.414,76.89,68,40,1.99,scattered clouds
159,Nanortalik,GL,60.1432,-45.2371,43.66,66,7,6.69,clear sky
160,Butaritari,KI,3.0707,172.7902,82.94,78,89,18.54,light rain
161,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,79,75,11.95,broken clouds
162,Ancud,CL,-41.8697,-73.8203,51.42,79,2,22.66,light rain
163,Anloga,GH,5.7947,0.8973,89.82,73,100,13.65,overcast clouds
164,Atuona,PF,-9.8,-139.0333,78.4,78,47,14.5,light rain
165,Arlit,NE,18.7369,7.3853,109.02,4,4,10.36,clear sky
166,San Juan,AR,-31.5375,-68.5364,67.59,20,0,5.7,clear sky
167,Minab,IR,27.1467,57.0801,94.5,47,0,7.38,clear sky
168,Damghan,IR,36.1683,54.348,79.52,30,2,6.06,clear sky
169,Steinbach,DE,50.1667,8.5667,59.0,83,75,1.99,broken clouds
170,Kenai,US,60.5544,-151.2583,44.65,87,1,20.71,clear sky
171,Dhaka,BD,23.7104,90.4074,85.98,74,75,13.78,broken clouds
172,Tilichiki,RU,60.4667,166.1,32.2,98,100,8.3,light snow
173,Chulman,RU,56.8479,124.9104,40.64,95,100,3.4,light rain
174,Geraldton,AU,-28.7667,114.6,63.01,67,97,5.26,overcast clouds
175,Palasa,IN,18.7667,84.4167,84.65,67,100,3.11,overcast clouds
176,East London,ZA,-33.0153,27.9116,72.54,68,0,4.61,clear sky
177,Pacific Grove,US,36.6177,-121.9166,55.26,85,40,1.99,scattered clouds
178,Chokurdakh,RU,70.6333,147.9167,33.4,77,0,8.95,clear sky
179,Bela Palanka,RS,43.2183,22.3111,73.99,79,100,5.1,overcast clouds
180,Mapulot,PH,14.0339,122.5408,77.94,90,86,2.84,overcast clouds
181,Berezovyy,RU,51.6667,135.7,40.73,95,100,2.24,overcast clouds
182,Gland,CH,46.4208,6.2701,66.18,62,42,5.99,scattered clouds
183,Touros,BR,-5.1989,-35.4608,86.9,65,82,17.2,broken clouds
184,Mahajanga,MG,-15.7167,46.3167,80.62,61,20,6.91,few clouds
185,Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,58,20,21.85,few clouds
186,Alboraya,ES,39.5,-0.35,76.89,55,0,8.99,clear sky
187,Kaitangata,NZ,-46.2817,169.8464,47.93,83,100,2.59,overcast clouds
188,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,70,75,1.86,broken clouds
189,Cavalcante,BR,-13.7975,-47.4583,85.23,34,2,6.58,clear sky
190,Surgut,RU,61.25,73.4167,46.58,49,0,6.51,clear sky
191,Broken Hill,AU,-31.95,141.4333,47.91,71,0,4.61,clear sky
192,Praya,CV,14.9215,-23.5087,79.34,57,20,24.16,few clouds
193,Bathsheba,BB,13.2167,-59.5167,86.61,54,40,17.9,scattered clouds
194,Ugoofaaru,MV,5.6667,73.0,82.85,78,97,22.37,overcast clouds
195,Komsomolskiy,UZ,40.4272,71.7189,84.92,24,43,6.91,scattered clouds
196,Itambe,BR,-15.245,-40.6244,85.23,32,44,4.97,scattered clouds
197,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,5.75,broken clouds
198,Luderitz,NA,-26.6481,15.1594,68.18,53,39,7.52,scattered clouds
199,Qaanaaq,GL,77.484,-69.3632,35.64,78,22,4.36,few clouds
200,Jacareacanga,BR,-6.2222,-57.7528,89.91,66,0,3.44,clear sky
201,Vredendal,ZA,-31.6683,18.5012,63.7,49,17,8.08,few clouds
202,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,40,7.99,scattered clouds
203,Kardasova Recice,CZ,49.1848,14.8532,59.47,61,100,6.51,overcast clouds
204,Bhakkar,PK,31.6253,71.0657,104.31,10,0,8.46,clear sky
205,Sangar,RU,63.9242,127.4739,48.34,66,32,3.4,scattered clouds
206,Hambantota,LK,6.1241,81.1185,82.74,83,75,23.02,broken clouds
207,Hami,CN,42.8,93.45,85.91,10,99,1.88,overcast clouds
208,Harper,LR,4.375,-7.7169,84.63,69,78,8.37,broken clouds
209,Magadan,RU,59.5667,150.8,37.98,97,100,6.76,light rain
210,Moultonborough,US,43.7548,-71.3967,74.19,66,34,4.0,scattered clouds
211,Kahului,US,20.8947,-156.47,76.84,84,40,6.91,scattered clouds
212,Grindavik,IS,63.8424,-22.4338,51.75,66,20,19.66,few clouds
213,Takoradi,GH,4.8845,-1.7554,85.68,67,88,12.44,overcast clouds
214,Fortuna,US,40.5982,-124.1573,48.65,100,1,9.22,clear sky
215,Saldanha,ZA,-33.0117,17.9442,64.45,75,26,10.22,scattered clouds
216,Ilulissat,GL,69.2167,-51.1,57.22,28,40,19.57,scattered clouds
217,Pangnirtung,CA,66.1451,-65.7125,32.0,86,75,10.36,broken clouds
218,Bilibino,RU,68.0546,166.4372,35.33,67,98,8.95,overcast clouds
219,Starogard Gdanski,PL,53.964,18.5264,57.88,68,73,9.84,broken clouds
220,Kenora,CA,49.8167,-94.4337,40.17,48,75,9.22,broken clouds
221,Gonbad-E Qabus,IR,37.25,55.1672,77.95,47,36,1.01,scattered clouds
222,Kavieng,PG,-2.5744,150.7967,82.47,73,100,10.38,light rain
223,High Level,CA,58.5169,-117.136,50.11,81,75,3.67,broken clouds
224,Esso,RU,55.9333,158.7,35.71,99,100,3.53,overcast clouds
225,North Platte,US,41.1239,-100.7654,57.99,77,90,7.0,overcast clouds
226,Maragogi,BR,-9.0122,-35.2225,81.19,69,43,15.37,scattered clouds
227,Atasu,KZ,48.6814,71.6433,73.9,41,52,20.94,broken clouds
228,Gondanglegi,ID,-7.7479,112.0132,76.3,85,89,5.41,overcast clouds
229,Guerrero Negro,MX,27.9769,-114.0611,62.29,77,100,17.29,overcast clouds
230,Barrow,US,71.2906,-156.7887,32.02,86,90,8.05,overcast clouds
231,Samarai,PG,-10.6167,150.6667,78.21,74,100,17.34,overcast clouds
232,Seoul,KR,37.5683,126.9778,56.77,88,20,4.07,few clouds
233,Khandagayty,RU,50.7333,92.05,63.28,44,9,1.48,clear sky
234,Syasstroy,RU,60.1367,32.5691,60.33,60,100,4.7,overcast clouds
235,Kruisfontein,ZA,-34.0033,24.7314,59.4,73,88,11.63,overcast clouds
236,Kvitok,RU,56.0724,98.4813,52.09,48,100,7.36,overcast clouds
237,Carndonagh,IE,55.25,-7.2667,64.02,63,100,12.19,overcast clouds
238,Baykit,RU,61.67,96.37,45.72,49,100,10.69,overcast clouds
239,Quesnel,CA,52.9999,-122.5029,48.7,87,90,5.75,light rain
240,Port Macquarie,AU,-31.4333,152.9167,53.56,72,0,8.25,clear sky
241,Darab,IR,28.7519,54.5444,90.3,11,0,6.24,clear sky
242,Torbay,CA,47.6666,-52.7314,60.89,85,75,34.52,broken clouds
243,Horadiz,AZ,39.4488,47.3353,75.97,45,9,9.78,clear sky
244,Drahovo,UA,48.2357,23.5491,73.02,59,10,5.23,clear sky
245,Khor,RU,47.8861,134.9464,47.17,80,100,7.25,light rain
246,Mandera,KE,3.9366,41.867,87.51,43,100,13.73,overcast clouds
247,Esperance,AU,-33.8667,121.9,55.24,48,100,17.47,overcast clouds
248,Half Moon Bay,US,37.4636,-122.4286,56.88,81,1,6.29,clear sky
249,Kez,RU,57.8979,53.7152,58.08,55,34,4.03,scattered clouds
250,Kita,ML,13.0349,-9.4895,105.58,18,70,3.51,broken clouds
251,Sao Sebastiao,BR,-23.76,-45.4097,76.15,53,30,4.14,scattered clouds
252,Callaguip,PH,18.0714,120.4867,84.65,69,83,4.85,broken clouds
253,Hirara,JP,24.8,125.2833,82.56,85,79,10.54,broken clouds
254,Lagoa,PT,39.05,-27.9833,58.82,67,6,12.86,clear sky
255,Anadyr,RU,64.75,177.4833,34.3,93,90,15.01,overcast clouds
256,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,92.64,25,4,4.45,clear sky
